case,status,effective_tmax,summary_tmax,source_tmax,gate_passed,artifact,claim_level,notes
"D-shaped tokamak external VMEC, Nx=Ny=64, Nz=40, t=250",long_feasibility_pending_convergence,250.00604248046875,250.00604248046875,250.00604248046875,False,docs/_static/external_vmec_dshape_nonlinear_t250_n64_pilot.json,finite_high_grid_long_nonlinear_feasibility_pending_high_grid_gate,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"nfp4 QH external VMEC, Nx=Ny=48, Nz=32, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_qh_nonlinear_t150_n48_pilot.json,finite_higher_grid_long_nonlinear_feasibility_not_yet_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"nfp4 QH external VMEC, Nx=Ny=64, Nz=40, t=150",long_feasibility_pending_convergence,150.00454711914062,150.00454711914062,150.00454711914062,False,docs/_static/external_vmec_qh_nonlinear_t150_n64_pilot.json,finite_high_grid_long_nonlinear_feasibility_not_yet_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
"nfp4 QH external VMEC, reduced grid",long_feasibility_pending_convergence,150.0010223388672,150.0010223388672,150.0010223388672,False,docs/_static/external_vmec_qh_nonlinear_t150_pilot.json,finite_reduced_grid_long_nonlinear_feasibility_not_grid_converged_transport_validation,feasibility pilot only; no external nonlinear transport acceptance gate is defined
Li383 reduced nonlinear-window estimator gate,reduced_estimator_not_transport_average,11.52,11.52,,True,docs/_static/vmec_boozer_li383_nonlinear_window_gradient_gate.json,,Use this as a reduced nonlinear-window estimator-gradient gate only. Full stellarator heat-flux optimization still requires converged nonlinear SPECTRAX-GK window gradients or robust adjoint/finite-difference audits on optimized equilibria.
QH reduced nonlinear-window estimator gate,reduced_estimator_not_transport_average,11.52,11.52,,True,docs/_static/vmec_boozer_nonlinear_window_gradient_gate.json,,Use this as a reduced nonlinear-window estimator-gradient gate only. Full stellarator heat-flux optimization still requires converged nonlinear SPECTRAX-GK window gradients or robust adjoint/finite-difference audits on optimized equilibria.
Reduced stellarator nonlinear objective example,reduced_estimator_not_transport_average,93.6,93.6,,False,docs/_static/stellarator_itg_nonlinear_optimization.json,,not a promoted nonlinear transport average
D-shaped tokamak external VMEC nonlinear grid convergence,release_transport_gate_passed,150.00454711914062,150.00454711914062,,True,docs/_static/external_vmec_dshape_grid_convergence_gate.json,passed_grid_convergence_candidate_for_transport_holdout,long nonlinear pilots pass the grid/window convergence gate
D-shaped tokamak external VMEC nonlinear t250 high-grid convergence,release_transport_gate_passed,250.00604248046875,250.00604248046875,,True,docs/_static/external_vmec_dshape_t250_high_grid_convergence_gate.json,passed_grid_convergence_candidate_for_transport_holdout,long nonlinear pilots pass the grid/window convergence gate
cyclone_miller_nonlinear_window,release_transport_gate_passed,121.9,121.9,400.01537822923615,True,docs/_static/nonlinear_cyclone_miller_gate_summary.json,matched_nonlinear_transport_comparison_gate,matched-code nonlinear transport comparison gate
cyclone_nonlinear_long_window,release_transport_gate_passed,400.0,400.0,1999.8255615234375,True,docs/_static/nonlinear_cyclone_gate_summary.json,matched_nonlinear_transport_comparison_gate,matched-code nonlinear transport comparison gate
hsx_nonlinear_window,release_transport_gate_passed,49.2,49.2,50.04916948152942,True,docs/_static/nonlinear_hsx_gate_summary.json,matched_nonlinear_transport_comparison_gate,matched-code nonlinear transport comparison gate
kbm_nonlinear_window,release_transport_gate_passed,100.0,100.0,100.07963562011719,True,docs/_static/nonlinear_kbm_gate_summary.json,matched_nonlinear_transport_comparison_gate,matched-code nonlinear transport comparison gate
w7x_nonlinear_window,release_transport_gate_passed,200.00664938039336,,200.00664938039336,True,docs/_static/nonlinear_w7x_gate_summary.json,matched_nonlinear_transport_comparison_gate,matched-code nonlinear transport comparison gate
Compact nonlinear FD startup audit,short_or_startup_not_transport_average,0.6399996876716614,0.6399996876716614,,True,docs/_static/nonlinear_window_fd_audit.json,startup_transient_nonlinear_plumbing_fd_audit_not_transport_average,"Use this only as a compact startup-response plumbing and FD-conditioning audit. Meaningful nonlinear heat-flux claims require long post-transient simulations, running-average convergence, block/window stability, and comparison against the tracked long-window nonlinear reference gates before optimization or manuscript use."
VMEC/Boozer nonlinear FD startup audit,short_or_startup_not_transport_average,0.03200000151991844,0.03200000151991844,,True,docs/_static/vmec_boozer_nonlinear_window_fd_audit.json,vmec_boozer_geometry_perturbed_startup_plumbing_fd_audit_not_transport_average,"Use this only as a VMEC/Boozer-perturbed startup-response plumbing FD audit. Promoted nonlinear stellarator optimization still requires long post-transient running-average heat-flux windows, optimized-equilibrium audits, and a validated gradient/adjoint strategy."
